participant_id,participant_name
B01771,CVP SECURITIES LTD (IN LIQUIDATION)
B00545,CHAN & IU CO
B01781,BARCLAYS CAPITAL ASIA LTD
B00965,HANTEC SECURITIES CO
B01534,POWER RANGE SECURITIES CO LTD
B01478,GOLDBRIDGE SECURITIES LTD
B02140,JQ SECURITIES (HONG KONG) LTD
B01968,AYERS ALLIANCE SECURITIES (HK) LTD
B02151,SOLITON SECURITIES LTD
B00210,GOLDEN HILL INVESTMENT CO
C00093,BNP PARIBAS
B01085,SALOMON SMITH BARNEY SECURITIES ASIA LTD
B00116,LLOYD STOCKBROKERS & CO
B01217,TAIPING SECURITIES (HK) CO LTD
B01252,CORPORATE BROKERS LTD
B02191,NH INVESTMENT & SECURITIES (H.K.) LTD
B01393,CHINA NONFERROUS METALS SECURITIES CO
B00816,JOLLY STOCK INVESTMENT CO
A00004,CHINA SECURITIES DEPOSITORY AND CLEARING
B01779,LEE'S SECURITIES CO LTD (IN LIQUIDATION)
B01350,S. W. WOO & CO LTD
C00087,HUNG KAI FINANCE CO LTD
B01891,FUTURE GROWTH FINANCIAL SERVICES LTD
B01241,TUNLIN SECURITIES CO
B01943,PO SANG SECURITIES LTD
B01456,FOREGROUND SECURITIES CO LTD
C00004,"MUFG BANK, LTD."
P00004,KREDIETBANK N V
B00067,KUENTAI SECURITIES (KAM NGAN) CO
B01250,BILLION SECURITIES CO
B01353,UOB KAY HIAN (HONG KONG) LTD
B01512,CLOVER SECURITIES CO LTD (IN MEMBERS'
B00077,TRUTH & CO
B02080,FUTEC FINANCIAL LTD
B01700,REALINK FINANCIAL TRADE LTD
B01890,GUOSEN SECURITIES (HK) BROKERAGE CO LTD
B00957,KOH'S INVESTMENT CO
B01295,KARL THOMSON SECURITIES CO
B02148,LEEDS SECURITIES INVESTMENT LTD
B80045,CHEUNG YAN LUNG STOCK INVESTMENT CO
B01479,SEG INTERNATIONAL SECURITIES (H.K.) LTD
B01528,EAA SECURITIES LTD
B02085,JOY RICH SECURITIES INVESTMENT LTD
B01602,FORLUXE SECURITIES LTD
B01796,SOO PEI SHAO & CO LTD
B01453,INSTINET ALPHA TRADING LTD
B02206,ZIRCON SECURITIES (HK) LTD
B00807,WING CHEUNG HING INVESTMENT CO
B00534,SAN WAN YUAN & CO
B01444,YUEXING SECURITIES COMPANY LTD
B01674,HONGKONG BAY SECURITIES LTD
B01628,GREAT HONOUR SECURITIES LTD
B02058,CONSTANCE CAPITAL LTD
B01955,FUTU SECURITIES INTERNATIONAL
B00230,KIN FUNG STOCK CO
B02208,CN FIRST INTERNATIONAL FUTURES LTD
C00001,BANK OF CHINA
