as_of_date,standard_symbol,close
2024-05-14T00:00,SEHK:02137,1.25
2024-01-12T00:00,SEHK:02137,2.15000009536743
2024-07-22T00:00,SEHK:02137,1.04999995231628
2024-01-03T00:00,SEHK:02137,2.27999997138977
2024-05-08T00:00,SEHK:02137,1.27999997138977
2024-04-24T00:00,SEHK:02137,1.0
2024-10-15T00:00,SEHK:02137,1.07000005245209
2024-12-16T00:00,SEHK:02137,0.87999999523163
2024-09-10T00:00,SEHK:02137,0.93999999761581
2024-08-29T00:00,SEHK:02137,0.99000000953674
2024-06-19T00:00,SEHK:02137,1.12000000476837
2024-08-26T00:00,SEHK:02137,0.98000001907349
2024-06-21T00:00,SEHK:02137,1.0900000333786
2024-11-15T00:00,SEHK:02137,1.07000005245209
2024-03-15T00:00,SEHK:02137,0.97000002861023
2024-01-22T00:00,SEHK:02137,1.73000001907349
2024-12-06T00:00,SEHK:02137,0.93000000715256
2024-06-18T00:00,SEHK:02137,1.05999994277954
2024-01-30T00:00,SEHK:02137,1.70000004768372
2024-05-13T00:00,SEHK:02137,1.23000001907349
2024-10-03T00:00,SEHK:02137,1.37999999523163
2024-04-22T00:00,SEHK:02137,1.00999999046326
2024-03-18T00:00,SEHK:02137,1.04999995231628
2024-12-27T00:00,SEHK:02137,1.0
2024-08-02T00:00,SEHK:02137,0.99000000953674
2024-09-20T00:00,SEHK:02137,1.02999997138977
2024-04-03T00:00,SEHK:02137,0.94999998807907
2024-11-25T00:00,SEHK:02137,1.0
2024-02-23T00:00,SEHK:02137,1.79999995231628
2024-01-26T00:00,SEHK:02137,1.79999995231628
2024-07-11T00:00,SEHK:02137,1.0
2024-12-13T00:00,SEHK:02137,0.89999997615814
2024-01-11T00:00,SEHK:02137,2.20000004768372
2024-11-08T00:00,SEHK:02137,1.07000005245209
2024-10-10T00:00,SEHK:02137,1.20000004768372
2024-04-16T00:00,SEHK:02137,0.87999999523163
2024-07-18T00:00,SEHK:02137,1.11000001430511
2024-07-12T00:00,SEHK:02137,1.04999995231628
2024-08-16T00:00,SEHK:02137,0.94999998807907
2024-06-24T00:00,SEHK:02137,1.04999995231628
2024-03-13T00:00,SEHK:02137,1.00999999046326
2024-06-05T00:00,SEHK:02137,1.22000002861023
2024-05-23T00:00,SEHK:02137,1.29999995231628
2024-08-22T00:00,SEHK:02137,0.97000002861023
2024-08-07T00:00,SEHK:02137,0.94999998807907
2024-11-21T00:00,SEHK:02137,1.02999997138977
2024-10-30T00:00,SEHK:02137,1.03999996185303
2024-10-31T00:00,SEHK:02137,1.02999997138977
2024-10-14T00:00,SEHK:02137,1.12999999523163
2024-03-11T00:00,SEHK:02137,1.05999994277954
2024-02-05T00:00,SEHK:02137,1.61000001430511
2024-11-27T00:00,SEHK:02137,0.99000000953674
2024-03-20T00:00,SEHK:02137,1.0
2024-07-25T00:00,SEHK:02137,1.02999997138977
2024-09-05T00:00,SEHK:02137,0.94999998807907
2024-01-10T00:00,SEHK:02137,2.1800000667572
2024-06-11T00:00,SEHK:02137,1.37999999523163
2024-02-01T00:00,SEHK:02137,1.61000001430511
2024-03-22T00:00,SEHK:02137,0.94999998807907
